id baseMean baseMeanA baseMeanB foldChange log2FoldChange pval padj
CARHR001480 36.6567716560156 33.6821921225647 39.6313511894664 1.17662624348361 0.234656119607459 0.453307637452668 1
CARHR001490 54.7323801163755 47.6456434176686 61.8191168150825 1.29747679705293 0.375708738909945 0.157122257765052 1
CARHR001500 16.8119118475309 15.4834709940496 18.1403527010121 1.17159470947978 0.228473583628212 0.629719280126406 1
CARHR001510 0.50235314189577 0.66986119183705 0.334845091954489 0.499872355698348 -1.00036835062184 1 1
CARHR001520 4.01822385684148 3.9615189430264 4.07492877065657 1.02862786452904 0.0407211405387287 1 1
CARHR001530 8.81767909594265 6.29034854266198 11.3450096492233 1.80355819272652 0.850845973169027 0.16911553543131 1
CARHR001540 9.11840545967754 9.61321197352667 8.62359894582841 0.897056984655753 -0.156728461059431 0.852049539467559 1
CARHR001550 19.8684746701688 19.7400932766008 19.9968560637368 1.01300717192863 0.018644388225172 0.995937641157532 1
CARHR001560 116.07049583461 112.064221927966 120.076769741253 1.07149960688111 0.0996313207090169 0.644172174250124 1
CARHR001570 2.97187143966756 3.29642090254413 2.64732197679099 0.803089791946115 -0.316366793130878 0.868531136425528 1
CARHR001580 248.237150005353 255.705663143596 240.76863686711 0.941585078355899 -0.0868366372473274 0.606200326120772 1
CARHR001590 38.6291564552639 33.2859183571995 43.9723945533283 1.32105096459859 0.401686125142914 0.186045077427086 1
CARHR001600 48.4826108911519 50.0060056248052 46.9592161574985 0.939071528924611 -0.0906930429778921 0.744730376825557 1
CARHR001610 317.996221203028 319.458289062229 316.534153343827 0.990846580544251 -0.0132664023824482 0.957700399043615 1
CARHR001620 4.83372607543465 5.60373458912678 4.06371756174251 0.725180234200877 -0.463588491935727 0.597515752505162 1
CARHR001630 7.46924519298648 7.64452384431327 7.29396654165968 0.954142689617698 -0.067723061140506 1 1
CARHR001640 117.330756330828 89.6732255605285 144.988287101128 1.61685147595436 0.693187158870046 0.000590445553141505 0.0482984462469751
CARHR001650 194.015359020087 195.548470067204 192.48224797297 0.98431988706851 -0.0228008519960658 0.89769119116064 1
CARHR001660 262.497907585723 122.923665478436 402.07214969301 3.27090921124169 1.70969171591438 1.63018921228869e-22 1.81840196679838e-19
CARHR001670 261.332126165944 166.459225940839 356.205026391049 2.13989356479195 1.09753904084813 1.56458773330985e-10 5.90692045775748e-08
CARHR001680 161.881492940851 178.650058400222 145.112927481481 0.812274727368914 -0.299960336961099 0.0991732976744312 1
CARHR001690 73.1670696602184 73.4578461747344 72.8762931457024 0.992083173421003 -0.0114670177712786 0.984165010329446 1
CARHR001700 43.3006149679998 45.3792251773837 41.222004758616 0.908389347713243 -0.138617306600581 0.639211472703146 1
CARHR001710 413.820207461441 448.547692409098 379.092722513784 0.845155886273143 -0.242710628508838 0.0979451246864368 1
CARHR001720 28.0411996690355 21.7569033111006 34.3254960269704 1.57768297887582 0.657807337954482 0.0559734990174493 1
CARHR001730 1.49679803219225 0.681850802180422 2.31174526220408 3.39039751044009 1.76145443345596 0.332902413087069 1
CARHR001740 60.0857855628909 52.3515879861389 67.8199831396429 1.29547136483423 0.373477126464961 0.135467338749364 1
CARHR001750 8.98058205744137 9.46917318549334 8.49199092938939 0.896803845809792 -0.157135629947837 0.852550865461556 1
CARHR001760 28.1311872505973 23.3966556495671 32.8657188516275 1.40471866338023 0.490281216860077 0.150582993925562 1
CARHR001770 15.4784865177253 13.8001964377386 17.156776597712 1.24322698413149 0.314089722766079 0.517821737754523 1
CARHR001780 20.5868173995468 24.741141184596 16.4324936144975 0.664176866050483 -0.59036062169366 0.143161253520008 1
CARHR001790 2.79981078493578 2.00235711652256 3.597264453349 1.79651492916323 0.845200924285392 0.486012944843114 1
CARHR001800 313.402224644616 286.942986394204 339.861462895029 1.18442157156657 0.24418267130247 0.148175449287087 1
CARHR001810 4190.30156176314 4092.83460107155 4287.76852245474 1.04762809651095 0.0671266571965791 0.617889657706734 1
CARHR001820 0 0 0 NA NA NA NA
CARHR001830 167.155199155766 167.328273589453 166.982124722079 0.99793131871889 -0.00298756745440177 0.983505722320097 1
CARHR001840 55.4987206865467 55.9288227741436 55.0686185989499 0.984619662411501 -0.022361545056277 0.92488589587231 1
CARHR001850 93.0381428793205 97.1666848533503 88.9096009052908 0.915021450402249 -0.128122530697004 0.570791468116253 1
CARHR001860 0 0 0 NA NA NA NA
CARHR001870 2805.39546838326 2756.34420578549 2854.44673098104 1.03559153642337 0.050455079688308 0.744406353490521 1
CARHR001880 15.590870002227 16.7222236474138 14.4595163570402 0.864688612107905 -0.209747405660293 0.669102266123963 1
CARHR001890 0.508347947067456 0.681850802180422 0.334845091954489 0.491082639902632 -1.02596227168027 1 1
CARHR001900 45.6859208514551 49.7006848953019 41.6711568076083 0.838442305078725 -0.254216582463951 0.341542134424358 1
CARHR001910 291.623031607712 301.874734616928 281.371328598497 0.932079754721941 -0.101474688485295 0.542576899784154 1
CARHR001920 2.64275371181629 2.29286076860546 2.99264665502712 1.30520208466355 0.384273196811006 0.857366074017532 1
CARHR001930 135.728943813518 150.046684783222 121.411202843814 0.809156183751883 -0.305509895598384 0.122636260482576 1
CARHR001940 63.505155455731 54.2673538270937 72.7429570843683 1.34045520841391 0.422723012174808 0.0865632266835748 1
CARHR001950 97.9672289978276 95.1359122926119 100.798545703043 1.05952151268613 0.0834128807072646 0.704301486124006 1
CARHR001960 51.3830922319808 51.9145822383889 50.8516022255727 0.979524442517228 -0.0298466017223001 0.920841978956545 1
CARHR001970 0.340450696411518 0 0.680901392823035 Inf Inf 0.649255441538355 1
CARHR001980 0 0 0 NA NA NA NA
CARHR001990 91.1784618231968 89.2388838159427 93.118039830451 1.04346934708988 0.0613882205734912 0.763787728859599 1
CARHR002000 13.7704012202024 14.1964702031038 13.344332237301 0.939975363339512 -0.0893051504946386 0.882022454283445 1
CARHR002010 98.909053538168 103.490538919409 94.3275681569274 0.911460788028008 -0.133747503498858 0.540472608969047 1
CARHR002020 17.2039959233141 18.9359202949704 15.4720715516579 0.817075236410211 -0.291459166824341 0.546354172198551 1
CARHR002030 257.008296925987 253.573682925399 260.442910926575 1.02708967240578 0.0385621449350649 0.781363788893234 1
CARHR002040 36.6408810272414 39.5355349174766 33.7462271370063 0.853566979868757 -0.228423728121717 0.461287233058165 1
CARHR002050 76.9631305561615 76.4445101242461 77.481750988077 1.01356854615387 0.0194436594533087 0.971366739385639 1
CARHR002060 1966.41642822281 1907.61880804466 2025.21404840096 1.06164504137849 0.0863014849342718 0.510555724203033 1
CARHR002070 0.497502549469606 0.681850802180422 0.31315429675879 0.459270995586403 -1.12258241919905 1 1
CARHR002080 0 0 0 NA NA NA NA
CARHR002090 0 0 0 NA NA NA NA
CARHR002100 82.9127140286245 82.4739519380486 83.3514761192005 1.01064001615699 0.0152692095176498 0.910446990347327 1
CARHR002110 47.5057829122844 43.8811745516119 51.1303912729569 1.1652010639054 0.2205789238672 0.450196105571236 1
CARHR002120 0.334930595918525 0.66986119183705 0 0 -Inf 0.652265515955831 1
CARHR002130 36.1005973876441 41.2979735948364 30.9032211804518 0.748298729706092 -0.418313768853645 0.17139316313118 1
CARHR002140 15.9087740545932 15.7593582642425 16.0581898449439 1.01896216684023 0.027100486513286 1 1
CARHR002150 1.64213536219774 1.64221564610038 1.64205507829511 0.999902224896192 -0.000141066553896646 1 1
CARHR002160 642.676608544341 732.921030821264 552.432186267417 0.753740393625213 -0.407860384816705 0.00569117042058132 0.273845729649148
CARHR002170 2.65187988463483 3.29395759491031 2.00980217435935 0.610148162643264 -0.712768479169815 0.593383625693246 1
CARHR002180 89.5451145397601 89.7310372324373 89.3591918470829 0.995856000367062 -0.0059909495574947 1 1
CARHR002190 11.5903701982687 9.61074866589285 13.5699917306446 1.41195990056451 0.497699116882327 0.353818071908945 1
CARHR002200 27.807159025513 24.8636640595764 30.7506539914495 1.23677081212838 0.30657817708034 0.377364706358865 1
CARHR002210 130.688254975678 139.5853244501 121.791185501257 0.872521420006415 -0.196737545619278 0.322714349736227 1
CARHR002220 328.984673858991 324.368309471128 333.601038246854 1.02846372011736 0.0404909025357278 0.811698084424493 1
CARHR002230 69.3165916713912 60.8387169507466 77.7944663920359 1.27869998400881 0.354677810462367 0.154431173968453 1
CARHR002240 619.734591223034 613.717494671476 625.751687774592 1.01960868511587 0.0280155675275137 0.849765773573399 1
CARHR002250 37.4522868014724 38.2536614373288 36.650912165616 0.95810206888722 -0.0617487370120565 0.867365885150864 1
CARHR002260 217.665484111485 219.278750195637 216.052218027332 0.985285705224851 -0.0213859685476364 0.897766961854012 1
CARHR002270 2463.68715976548 2943.15730598922 1984.21701354175 0.674179735314841 -0.568794831849083 2.79655148190083e-05 0.00362586583091081
CARHR002280 33.5424970244403 31.4949380033286 35.590056045552 1.13002464211203 0.176354233406123 0.575718788015631 1
CARHR002290 22.7883599904803 24.1074122877019 21.4693076932586 0.890568736164638 -0.167201128707184 0.690611530114851 1
CARHR002300 37.8629789448906 39.8958398518116 35.8301180379695 0.89809158476313 -0.155065520582076 0.611278462689281 1
CARHR002310 0 0 0 NA NA NA NA
CARHR002320 222.497282145463 219.370268086473 225.624296204454 1.02850900521996 0.0405544255879831 0.822919313100842 1
CARHR002330 142.875742017379 148.544108933243 137.207375101514 0.923681027048847 -0.114533360283159 0.60524168353223 1
CARHR002340 913.162204894218 1050.14981402981 776.174595758631 0.739108444708634 -0.436142037464323 0.00199970261357677 0.126476036436016
CARHR002350 8.08596963029008 8.58797246262222 7.58396679795795 0.88309165300261 -0.179364916956539 0.842793939174542 1
CARHR002360 11.4340209523216 12.580697085324 10.2873448193192 0.817708649174929 -0.290341194585586 0.615465468770634 1
CARHR002370 94.2189986457862 95.9662008747372 92.4717964168352 0.963587133531907 -0.0535129650237638 0.800630548044455 1
CARHR002380 176.925857120927 167.070584373498 186.781129868357 1.11797735411516 0.160890965071402 0.40304374036189 1
CARHR002390 0 0 0 NA NA NA NA
CARHR002400 25.4766667236029 21.1928122325458 29.76052121466 1.4042742835685 0.489824751095933 0.187992757900601 1
CARHR002410 497.558788536707 497.62339781077 497.494179262643 0.999740328632667 -0.000374675242234597 0.995139211767337 1
CARHR002420 2.66890347256259 2.00958357551115 3.32822336961402 1.65617564264152 0.727855683302544 0.590027714302208 1
CARHR002430 579.016903894188 572.632632828038 585.401174960338 1.02229796452438 0.03181575330996 0.836865242074851 1
CARHR002440 127.198978391178 137.727422050114 116.670534732243 0.847111875003301 -0.239375581228194 0.223152813678337 1
CARHR002450 28.9752563308192 29.3293260294408 28.6211866321976 0.975855585752897 -0.0352604318672647 0.964821209289204 1
CARHR002460 86.3300263569572 80.521199250969 92.1388534629453 1.14428069030326 0.194440986414911 0.358446128941692 1
CARHR002470 244.432346449232 232.548725237661 256.315967660804 1.10220327975934 0.140390325229434 0.410771420589301 1
CARHR002480 3478.45906187333 3386.57050953922 3570.34761420744 1.05426643388955 0.0762395105012477 0.623131537963169 1
CARHR002490 80.1584875821998 88.5594963213961 71.7574788430035 0.810274243008164 -0.303517813970068 0.176476687341266 1
CARHR002500 424.004681058924 445.472452919182 402.536909198667 0.9036179601249 -0.146215149161208 0.35069075514144 1
