PF00503	IPR001019
PF01477	IPR001024
PF01426	IPR001025
PF00669	IPR001029
PF00700	IPR001029
PF00330	IPR001030
PF00975	IPR001031
PF08220	IPR001034
PF00873	IPR001036
PF00552	IPR001037
PF02124	IPR001038
PF01652	IPR001040
PF00111	IPR001041
PF01566	IPR001046
PF00696	IPR001048
PF00211	IPR001054
PF00737	IPR001056
PF01387	IPR001058
PF01132	IPR001059
PF00611	IPR001060
PF00237	IPR001063
PF00030	IPR001064
PF00761	IPR001070
PF00386	IPR001073
PF01106	IPR001075
PF00891	IPR001077
PF00198	IPR001078
PF00337	IPR001079
PF00114	IPR001082
PF00649	IPR001083
PF00418	IPR001084
PF00464	IPR001085
PF00800	IPR001086
PF00657	IPR001087
PF02056	IPR001088
PF01404	IPR001090
PF00478	IPR001093
PF03255	IPR001095
PF01650	IPR001096
PF00476	IPR001098
PF00195	IPR001099
PF00681	IPR001101
PF00868	IPR001102
PF02166	IPR001103
PF02544	IPR001104
PF00221	IPR001106
PF01145	IPR001107
PF01080	IPR001108
PF01455	IPR001109
PF00688	IPR001111
PF00709	IPR001114
PF00394	IPR001117
PF00395	IPR001119
PF01003	IPR001122
PF01810	IPR001123
PF02886	IPR001124
PF00817	IPR001126
PF00358	IPR001127
PF00067	IPR001128
PF01124	IPR001129
PF01026	IPR001130
PF03166	IPR001132
PF00420	IPR001133
PF00346	IPR001135
PF00985	IPR001136
PF00172	IPR001138
PF01777	IPR001141
PF00674	IPR001142
PF01375	IPR001144
PF01157	IPR001147
PF00194	IPR001148
PF01228	IPR001150
PF01290	IPR001152
PF00967	IPR001153
PF00724	IPR001155
PF00405	IPR001156
PF00948	IPR001157
PF00778	IPR001158
PF08459	IPR001162
PF01423	IPR001163
PF01412	IPR001164
PF01222	IPR001171
PF00535	IPR001173
PF13632	IPR001173
PF00519	IPR001177
PF00254	IPR001179
PF00780	IPR001180
PF01098	IPR001182
PF01741	IPR001185
PF00530	IPR001190
PF02141	IPR001194
PF00173	IPR001199
PF00397	IPR001202
PF01314	IPR001203
PF01384	IPR001204
PF00680	IPR001205
PF00781	IPR001206
PF00872	IPR001207
PF00493	IPR001208
PF00253	IPR001209
PF00833	IPR001210
PF01033	IPR001212
PF01054	IPR001213
PF00856	IPR001214
PF00937	IPR001218
PF00139	IPR001220
PF01096	IPR001222
PF00704	IPR001223
PF01128	IPR001228
PF01419	IPR001229
PF01139	IPR001233
PF00056	IPR001236
PF00697	IPR001240
PF00668	IPR001242
PF07714	IPR001245
PF01138	IPR001247
PF02133	IPR001248
PF01238	IPR001250
PF00650	IPR001251
PF13716	IPR001251
PF00089	IPR001254
PF01057	IPR001257
PF01436	IPR001258
PF00748	IPR001259
PF01218	IPR001260
PF00613	IPR001263
PF00912	IPR001264
PF01090	IPR001266
PF00265	IPR001267
PF00329	IPR001268
PF01207	IPR001269
PF01293	IPR001272
PF00751	IPR001275
PF00750	IPR001278
PF00753	IPR001279
PF12706	IPR001279
PF16661	IPR001279
PF00223	IPR001280
PF02057	IPR001286
PF02045	IPR001289
PF02159	IPR001292
PF02176	IPR001293
PF15965	IPR001293
PF00534	IPR001296
PF00427	IPR001297
PF00811	IPR001299
PF00648	IPR001300
PF00796	IPR001302
PF00596	IPR001303
PF00059	IPR001304
PF00684	IPR001305
PF01230	IPR001310
PF00806	IPR001313
PF00619	IPR001315
PF02079	IPR001319
PF00060	IPR001320
PF00932	IPR001322
PF00758	IPR001323
PF01195	IPR001328
PF00432	IPR001330
PF00951	IPR001332
PF02074	IPR001333
PF00518	IPR001334
PF00721	IPR001337
PF01185	IPR001338
PF01331	IPR001339
PF00742	IPR001342
PF00353	IPR001343
PF00605	IPR001346
PF01380	IPR001347
PF13580	IPR001347
PF02046	IPR001349
PF00227	IPR001353
PF00046	IPR001356
PF00533	IPR001357
PF12738	IPR001357
PF16589	IPR001357
PF16770	IPR001357
PF00232	IPR001360
PF00971	IPR001361
PF00509	IPR001364
PF00962	IPR001365
PF02742	IPR001367
PF00020	IPR001368
PF00653	IPR001370
PF01221	IPR001372
PF00888	IPR001373
PF01424	IPR001374
PF00326	IPR001375
PF01092	IPR001377
PF01303	IPR001379
PF01294	IPR001380
PF01487	IPR001381
PF01532	IPR001382
PF02102	IPR001384
PF00980	IPR001385
PF01381	IPR001387
PF12844	IPR001387
PF13443	IPR001387
PF00957	IPR001388
PF00624	IPR001389
PF01216	IPR001393
PF00443	IPR001394
PF01187	IPR001398
PF01516	IPR001399
PF00103	IPR001400
PF00740	IPR001403
PF00183	IPR001404
PF00602	IPR001407
PF02155	IPR001409
PF02101	IPR001414
PF01279	IPR001415
PF03157	IPR001419
PF00895	IPR001421
PF00080	IPR001424
PF01036	IPR001425
PF00864	IPR001429
PF00175	IPR001433
PF01345	IPR001434
PF01272	IPR001437
PF00515	IPR001440
PF01255	IPR001441
PF01413	IPR001442
PF04022	IPR001443
PF00460	IPR001444
PF00797	IPR001447
PF00269	IPR001448
PF00132	IPR001451
PF14602	IPR001451
PF00018	IPR001452
PF14604	IPR001452
PF00994	IPR001453
PF01206	IPR001455
PF00851	IPR001456
PF00499	IPR001457
PF00905	IPR001460
PF00336	IPR001462
PF01235	IPR001463
PF01274	IPR001465
PF00144	IPR001466
PF02043	IPR001470
PF00847	IPR001471
PF01445	IPR001477
PF00595	IPR001478
PF13180	IPR001478
PF01453	IPR001480
PF00437	IPR001482
PF02083	IPR001483
PF01152	IPR001486
PF00439	IPR001487
PF02048	IPR001489
PF01001	IPR001490
PF03810	IPR001494
PF07525	IPR001496
PF01205	IPR001498
PF02076	IPR001499
PF00374	IPR001501
PF00852	IPR001503
PF01400	IPR001506
PF00100	IPR001507
PF01370	IPR001509
PF00645	IPR001510
PF01655	IPR001515
PF00662	IPR001516
PF00894	IPR001517
PF00764	IPR001518
PF00292	IPR001523
PF01349	IPR001528
PF02150	IPR001529
PF01329	IPR001533
PF01060	IPR001534
PF00798	IPR001535
PF00588	IPR001537
PF01050	IPR001538
PF01136	IPR001539
PF01097	IPR001542
PF01052	IPR001543
PF01063	IPR001544
PF00150	IPR001547
PF01401	IPR001548
PF01373	IPR001554
PF00469	IPR001558
PF02126	IPR001559
PF00598	IPR001561
PF00779	IPR001562
PF00450	IPR001563
PF00334	IPR001564
PF01432	IPR001567
PF00445	IPR001568
PF01907	IPR001569
PF02868	IPR001570
PF03832	IPR001573
PF00161	IPR001574
PF00162	IPR001576
PF01457	IPR001577
PF01088	IPR001578
PF00262	IPR001580
PF01291	IPR001581
PF00665	IPR001584
PF13333	IPR001584
PF13683	IPR001584
PF00923	IPR001585
PF00363	IPR001588
PF01421	IPR001590
PF00604	IPR001591
PF00767	IPR001592
PF01015	IPR001593
PF01529	IPR001594
PF00938	IPR001595
PF01212	IPR001597
PF00207	IPR001599
PF01894	IPR001602
PF01223	IPR001604
PF01388	IPR001606
PF02148	IPR001607
PF01168	IPR001608
PF00063	IPR001609
PF00560	IPR001611
PF13516	IPR001611
PF13855	IPR001611
PF01146	IPR001612
PF01275	IPR001614
PF01338	IPR001615
PF01771	IPR001616
PF00995	IPR001619
PF00226	IPR001623
PF02049	IPR001624
PF00950	IPR001626
PF01403	IPR001627
PF00105	IPR001628
PF00563	IPR001633
PF00497	IPR001638
PF01790	IPR001640
PF03539	IPR001641
PF00805	IPR001646
PF13576	IPR001646
PF13599	IPR001646
PF00440	IPR001647
PF01084	IPR001648
PF00271	IPR001650
PF00918	IPR001651
PF01678	IPR001653
PF01142	IPR001656
PF00536	IPR001660
PF07647	IPR001660
PF01204	IPR001661
PF00647	IPR001662
PF00038	IPR001664
PF05416	IPR001665
PF02121	IPR001666
PF01368	IPR001667
PF01076	IPR001668
PF00465	IPR001670
PF00342	IPR001672
PF00526	IPR001673
PF00958	IPR001674
PF00777	IPR001675
PF00073	IPR001676
PF01298	IPR001677
PF01189	IPR001678
PF00400	IPR001680
PF00787	IPR001683
PF01016	IPR001684
PF02154	IPR001689
PF00765	IPR001690
PF00146	IPR001694
PF01186	IPR001695
PF01115	IPR001698
PF00907	IPR001699
PF00759	IPR001701
PF00267	IPR001702
PF02072	IPR001704
PF00471	IPR001705
PF00302	IPR001707
PF02096	IPR001708
PF00387	IPR001711
PF00771	IPR001712
PF00307	IPR001715
PF00585	IPR001721
PF00840	IPR001722
PF01169	IPR001727
PF00863	IPR001730
PF00490	IPR001731
PF03721	IPR001732
PF00474	IPR001734
PF00614	IPR001736
PF00398	IPR001737
PF01429	IPR001739
PF00898	IPR001742
PF01405	IPR001743
PF00738	IPR001746
PF01347	IPR001747
PF01125	IPR001748
PF00361	IPR001750
PF00225	IPR001752
PF00378	IPR001753
PF00215	IPR001754
PF00354	IPR001759
PF00532	IPR001761
PF00200	IPR001762
PF00581	IPR001763
PF00933	IPR001764
PF00484	IPR001765
PF00250	IPR001766
PF01079	IPR001767
PF01364	IPR001769
PF02149	IPR001772
PF01414	IPR001774
PF01247	IPR001780
PF00412	IPR001781
PF02119	IPR001782
PF00952	IPR001784
PF00978	IPR001788
PF00072	IPR001789
PF00466	IPR001790
PF00054	IPR001791
PF02210	IPR001791
PF00708	IPR001792
PF02123	IPR001795
PF00186	IPR001796
PF00812	IPR001799
PF01441	IPR001800
PF00816	IPR001801
PF00897	IPR001803
PF00071	IPR001806
PF00654	IPR001807
PF00820	IPR001809
PF00646	IPR001810
PF12937	IPR001810
PF13013	IPR001810
PF15966	IPR001810
PF00048	IPR001811
PF00913	IPR001812
PF00413	IPR001818
PF00965	IPR001820
PF03527	IPR001826
PF01094	IPR001828
PF00982	IPR001830
PF00539	IPR001831
PF01376	IPR001835
PF00019	IPR001839
PF13639	IPR001841
PF14634	IPR001841
PF17121	IPR001841
PF17122	IPR001841
PF17123	IPR001841
PF02128	IPR001842
PF01022	IPR001845
PF00094	IPR001846
PF00716	IPR001847
PF00169	IPR001849
PF16457	IPR001849
PF16652	IPR001849
PF00949	IPR001850
PF02653	IPR001851
PF01323	IPR001853
PF00831	IPR001854
PF00711	IPR001855
PF01245	IPR001857
PF00064	IPR001860
PF01153	IPR001863
